Recommendation,Trigger Ingredient,Role or Technique,Cuisine Context,Alternative 1,Restriction 1,Alternative 2,Restriction 2,Alternative 3,Restriction 3,Equivalence Notes,Technique Notes
Decrease trans fatty acids,Margarine (non-HO),baking fat,Any,Butter or HO margarine,Check sat fat,Olive oil swap (partial),Texture changes,Avocado purée (partial),Flavor shift,Case-by-case,Adjust bake time
Diet low in nuts and seeds,Salad topping,topping,Any,Sunflower seeds,None,Pumpkin seeds,None,Walnuts,Not for nut allergy,Add 20–40g per 4p,Toast lightly
Diet low in seafood omega-3 fatty acids,Protein choice,swap in,Any,Mackerel,None,Sardines,None,Salmon,None,1:1 weight,Grill/bake
Decrease sugar-sweetened beverages,SSB,beverage,Any,Water + fruit infusion,None,Unsweetened tea,None,Sparkling water,None,N/A,N/A
Diet low in milk,Low-dairy breakfast,swap in,Any,Low-fat milk,None,Fortified plant drink,None,Skyr/yogurt,Not vegan,1:1 volume,Cold prep
Diet low in legumes,Roerbak proteïne,stirfry protein,Asian stirfry,Tempeh,None,Firm tofu,None,Seitan,Not gluten-free,1:1 weight,Press tofu; wok heet
Diet low in vegetables,Pasta dishes,veg boost,Italian,Add 150–250g veg per 4p,None,Swap 50% pasta → veg noodles,None,Add legumes to sauce,None,See note,Blanch or sauté veg noodles
Decrease sodium,Stock cube,broth base,Any,Low-salt stock,None,Homemade veg stock,None,Half cube + extra herbs,None,Use 50% sodium,Simmer with aromatics
Decrease red meat,Lamb,curry cubes,Indian,Chickpea + aubergine mix,Lower protein,Paneer (if dairy ok),Not vegan,Tofu cubes,None,1:1 by volume,Roast aubergine first
Decrease trans fatty acids,Cream,sauce enricher,European,Evaporated milk,Not vegan,Skimmed milk + roux,Thinner body,Cashew cream,Not for nut allergy,200ml cream → 200ml evap or 150ml skim + roux,Simmer gently
Diet low in whole grains,White flour,roux binder,Any,Wholemeal flour (25–50%),May darken sauce,Oat flour (partial),Gluten different,Chickpea flour (partial),Flavor shift,Replace 25–50%,Cook flour well
Diet low in fiber,White couscous,staple,Middle Eastern,Wholewheat couscous,None,Bulgur,None,Quinoa,None,1:1 volume,Hydration per pack
