Recommendation,Recommendation - alligned,Trigger Ingredient,Role or Technique,Rationale for combination (OPT),Translation of rationale for combination
Decrease saturated fat,Decrease trans fatty acids,Butter,sauté fat,Balances heat stability for cooking with a healthier fatty acid profile.,Subalansuoja temperatūros stabilumą gaminant maistą su sveikesniu riebalų rūgščių profiliu.
Decrease saturated fat,Decrease trans fatty acids,Butter,baking fat,Balances heat stability for cooking with a healthier fatty acid profile.,Subalansuoja temperatūros stabilumą gaminant maistą su sveikesniu riebalų rūgščių profiliu.
Increase omega-3 PUFA,Diet low in omega-6 polyunsaturated fatty acids,General fat choice,finish oil,Balances heat stability for cooking with a healthier fatty acid profile.,Subalansuoja temperatūros stabilumą gaminant maistą su sveikesniu riebalų rūgščių profiliu.
Increase calcium,Diet low in calcium,Low-dairy sauce,cream swap,Optimized for cream swap to ensure the substitution fits the dish's structure and taste.,"Optimizuota grietinėlės pakeitimui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase fiber,Diet low in fiber,White rice,staple,Optimized for staple to ensure the substitution fits the dish's structure and taste.,"Optimizuotas pagrindiniam produktui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase fiber,Diet low in fiber,Refined bread,bread,Increases fiber and whole grain content while preserving structural integrity and bite.,"Padidina skaidulų ir neskaldytų grūdų kiekį, išsaugant struktūrinį vientisumą."
Decrease trans fatty acids,Decrease trans fatty acids,Margarine (non-HO),baking fat,Balances heat stability for cooking with a healthier fatty acid profile.,Subalansuoja temperatūros stabilumą gaminant maistą su sveikesniu riebalų rūgščių profiliu.
Increase nuts and seeds,Diet low in nuts and seeds,Salad topping,topping,Optimized for topping to ensure the substitution fits the dish's structure and taste.,"Optimizuotas užpilams, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase seafood omega-3,Diet low in seafood omega-3 fatty acids,Protein choice,swap in,Optimized for swap in to ensure the substitution fits the dish's structure and taste.,"Optimizuotas siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Decrease sugar-sweetened beverages,Decrease sugar-sweetened beverages,SSB,beverage,Optimized for beverage to ensure the substitution fits the dish's structure and taste.,"Optimizuota gėrimams, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase milk,Diet low in milk,Low-dairy breakfast,swap in,Optimized for swap in to ensure the substitution fits the dish's structure and taste.,"Optimizuotas siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase legumes,Diet low in legumes,Roerbak proteïne,stirfry protein,Optimized for stirfry protein to ensure the substitution fits the dish's structure and taste.,"Optimizuotas kepimui maišant, siekiant užtikrinti, kad pakaitalas atitiktų patiekalo struktūrą ir skonį."
Increase vegetables,Diet low in vegetables,Pasta dishes,veg boost,Increases nutrient density and volume without compromising the dish's flavor profile.,Padidina maistinių medžiagų kiekį nepakenkiant patiekalo skonio profiliui.
Decrease sodium,Decrease sodium,Stock cube,broth base,Optimized for broth base to ensure the substitution fits the dish's structure and taste.,"Optimizuota sultinio pagrindui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Decrease red meat,Decrease red meat,Lamb,curry cubes,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,"Dėmesys sutelkiamas į stambesnes alternatyvas, kurios išlaiko formą ilgai verdant ar troškinant."
Decrease saturated fat,Decrease trans fatty acids,Cream,sauce enricher,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Suteikia augalinės kilmės tekstūras, kurios gerai dera su padažais, išlaikant pikantišką sodrumą."
Increase whole grains,Diet low in whole grains,White flour,roux binder,Optimized for roux binder to ensure the substitution fits the dish's structure and taste.,"Optimizuotas padažo rišikliui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase fiber,Diet low in fiber,White couscous,staple,Optimized for staple to ensure the substitution fits the dish's structure and taste.,"Optimizuotas pagrindiniam produktui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
