id,Alternative,Restriction,Equivalence,Translation of restriction,Translation of equivalence
fb2c2645-c6d3-4e65-8dbf-83b382466636,Pumpkin seeds,,Add 20–40g per 4p,,Voeg 20–40g per 4p toe
6f1bea7f-bcdc-4f23-99ca-0ebfc157b80e,Walnuts,Not for nut allergy,Add 20–40g per 4p,Niet bij notenallergie,Voeg 20–40g per 4p toe
6266574d-0b7f-4d7f-8db3-084f710ea843,Mackerel,,1:1 weight,,1:1 op gewicht
7df18df6-436e-499d-9e7a-96bf13b33b2f,Sardines,,1:1 weight,,1:1 op gewicht
1c284373-e3a3-4748-a4f9-20a769c2271b,Salmon,,1:1 weight,,1:1 op gewicht
f31a8c7a-1676-4e60-952f-1449b8a60890,Water + fruit infusion,,,,
d72e25fc-c431-4cd4-bc45-e92ca06ea11c,Unsweetened tea,,,,
e79df781-011f-4e1d-b158-8a4ec4e531fc,Sparkling water,,,,
887069c8-d766-4abe-a155-f52440e717fb,Low-fat milk,,1:1 volume,,1:1 op volume
e6cdf3c7-30da-4f33-a792-fbd3bed16be1,Fortified plant drink,,1:1 volume,,1:1 op volume
7d0cbf2b-1baa-406d-b344-3ab14ca1750c,Skyr/yogurt,Not vegan,1:1 volume,Niet veganistisch,1:1 op volume
60be7368-fd81-4833-ba76-f20ac9fadfd1,Tempeh,,1:1 weight,,1:1 op gewicht
fd66827c-4d2b-4ead-b597-5691fc6790c5,Firm tofu,,1:1 weight,,1:1 op gewicht
ffe3e621-f7db-4779-aac7-8a44e53e1809,Seitan,Not gluten-free,1:1 weight,Niet glutenvrij,1:1 op gewicht
e222b14c-89cf-4c42-a3d4-7817790cf51b,Add 150–250g veg per 4p,,See note,,Zie opmerking
7a5006f1-6b6e-4324-8f39-fc53e25d514a,Swap 50% pasta → veg noodles,,See note,,Zie opmerking
f52a0abe-6101-43d8-9996-da1153e10d5b,Add legumes to sauce,,See note,,Zie opmerking
0b606207-ff35-46e8-bd93-df30955c9f12,Low-salt stock,,Use 50% sodium,,Gebruik 50% natrium
b8bb84c0-7010-473e-98b0-58459aa1f8d9,Homemade veg stock,,Use 50% sodium,,Gebruik 50% natrium
6f7e8bbb-b949-4a9c-bb48-da384182dfe7,Half cube + extra herbs,,Use 50% sodium,,Gebruik 50% natrium
b4cba823-e8aa-4e4f-a81a-0e3c3dd6816c,Chickpea + aubergine mix,Lower protein,1:1 by volume,Lager eiwitgehalte,1:1 op volume
89ae6ce0-bf2f-4b17-b382-2bc78c8163b7,Paneer (if dairy ok),Not vegan,1:1 by volume,Niet veganistisch,1:1 op volume
0e489ba0-3f89-4753-8f13-bc162fa0bbf1,Tofu cubes,,1:1 by volume,,1:1 op volume
03812cb8-9a02-449d-b479-ce76ad0ac8bb,Evaporated milk,Not vegan,200ml cream → 200ml evap or 150ml skim + roux,Niet veganistisch,200ml room → 200ml gecondenseerde melk of 150ml magere melk + roux
d86224b9-55e4-4c48-b393-33b4ce03f01f,Skimmed milk + roux,Thinner body,200ml cream → 200ml evap or 150ml skim + roux,Dunnere body,200ml room → 200ml gecondenseerde melk of 150ml magere melk + roux
ff55543b-cb07-449e-a34a-6994dd1eaf39,Cashew cream,Not for nut allergy,200ml cream → 200ml evap or 150ml skim + roux,Niet bij notenallergie,200ml room → 200ml gecondenseerde melk of 150ml magere melk + roux
90dd1a72-20d1-4dc4-9ce5-d5bda7c611fe,Wholemeal flour (25–50%),May darken sauce,Replace 25–50%,Kan saus donkerder maken,Vervang 25–50%
235be467-7de0-4bf2-b67a-3deee39fa561,Oat flour (partial),Gluten different,Replace 25–50%,Gluten verschilt,Vervang 25–50%
29377189-eaaf-4061-9780-b75d715a4b2e,Chickpea flour (partial),Flavor shift,Replace 25–50%,Smaakverandering,Vervang 25–50%
e1a8f6fb-3755-4436-a546-1736fbbe44b6,Wholewheat couscous,,1:1 volume,,1:1 op volume
f05607bb-a8a4-4e72-a033-b06641ce85b2,Bulgur,,1:1 volume,,1:1 op volume
ff36aec6-c876-4e7f-9cd1-0910a30e9845,Quinoa,,1:1 volume,,1:1 op volume
